,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk
73,5537,5164,3618,4545,2987,5646
74,3805,1551,631,1196,500,1051
75,1502,3243,5641,4338,5578,2474
76,3335,7032,7672,7597,7736,7118
77,5896,5409,3000,4502,2561,5957
78,4079,1690,942,1196,732,1248
79,1391,3215,5785,4411,5680,2462
80,3318,6941,7595,7619,7633,7045
81,6267,5476,2911,4589,2554,6087
82,4286,1802,1076,1239,717,1344
